Qty,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
9,"C2, C10, C11, C50, C51, C52, C55, C56, C57",0.1uF,C0805,GCM21BR72A104KA37L,Murata Electronics,DK,490-4789-1-ND,CAP CER .1UF 100V X7R 0805,REF24
3,"C9(DNP), C14, C15",0.22uF,C0805,GCM21BR71H224KA37L,Murata Electronics,DK,490-4970-1-ND,CAP CER .22UF 50V X7R 0805,REF26
1,R50,0R,R0805,ERJ-6GEY0R00V,Panasonic - ECG,DK,P0.0ACT-ND,RES 0.0 OHM 1/8W 0805 SMD,REF29
4,"R2, R7, R8, R14",1K,R0805,ERJ-6ENF1001V,Panasonic - ECG,DK,P1.00KCCT-ND,RES 1.00K OHM 1/8W 1% 0805 SMD,REF30
7,"C3, C4, C5, C6, C8, C53, C54",1uF,C0805,GCM21BR71E105KA56L,Murata Electronics,DK,490-4785-1-ND,CAP CER 1UF 25V X7R 0805,REF27
1,R1,3.40K,R0805,ERJ-6ENF3401V,Panasonic - ECG,DK,P3.40KCCT-ND,RES 3.40K OHM 1/8W 1% 0805 SMD,REF31
1,C7,4.7uF,C3528/T,TAJB475K010RNJ,AVX Corporation,DK,478-3886-1-ND,CAP TANTALUM 4.7UF 10V 10% SMD,REF23
1,C1,4.7uF,C7343/T,TAJD475M035RNJ,AVX Corporation,DK,478-3934-1-ND,CAP TANTALUM 4.7UF 35V 20% SMD,REF22
1,Y1,8.0 MHZ,HC49UP,ECS-80-18-5PX-TR,ECS Inc,DK,XC1271CT-ND,CRYSTAL 8.00MHZ 18PF SMD,REF17
3,"R3, R6, R51",10K,R0805,ERJ-6ENF1022V,Panasonic - ECG,DK,P10.2KCCT-ND,RES 10.2K OHM 1/8W 1% 0805 SMD,REF32
2,"R10, R11",22R,R0805,ERJ-6ENF22R1V,Panasonic - ECG,DK,P22.1CCT-ND,RES 22.1 OHM 1/8W 1% 0805 SMD,REF33
2,"C12, C13",22pF,C0805,GRM2195C2A220JZ01D,Murata Electronics,DK,490-1591-1-ND,CAP CER 22PF 100V 5% C0G 0805,REF25
